system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
30,96.0,557.0,341.0,297.0,596.0,576.0,389.0,391.0,441.0,439.0,422.0,462.0,750.0,0.0,0.0,0.0,0.0,2048.0,10.0,59.0,40.0,1027.0,20190914T102021_20190914T102022_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
31,125.0,2167.0,1125.0,1056.0,2114.0,1828.0,1600.0,1317.0,1164.0,1163.0,1566.0,1081.0,1615.0,0.0,0.0,0.0,0.0,0.0,6.0,186.0,163.0,1290.0,20190323T102029_20190323T102023_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
32,204.0,765.0,840.0,645.0,511.0,416.0,402.0,801.0,944.0,1072.0,386.0,974.0,2848.0,0.0,0.0,0.0,0.0,1024.0,6.0,43.0,41.0,2699.0,20190606T102031_20190606T102358_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
33,77.0,3138.0,1993.0,1837.0,2276.0,1922.0,1842.0,2135.0,2224.0,2363.0,2458.0,2471.0,4041.0,42.0,0.0,0.0,0.0,1024.0,8.0,196.0,188.0,506.0,20190114T101351_20190114T101352_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
34,65.0,291.0,66.0,69.0,293.0,205.0,139.0,122.0,117.0,136.0,133.0,113.0,72.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,15.0,880.0,20190320T101029_20190320T101437_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
35,216.0,347.0,73.0,57.0,416.0,449.0,206.0,191.0,203.0,209.0,169.0,176.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,46.0,21.0,2243.0,20190825T102031_20190825T102430_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
36,216.0,480.0,63.0,67.0,761.0,887.0,251.0,187.0,76.0,98.0,67.0,58.0,83.0,0.0,0.0,0.0,0.0,0.0,6.0,91.0,26.0,2617.0,20190728T101029_20190728T101332_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
37,114.0,2728.0,1930.0,1863.0,1638.0,1572.0,1556.0,1708.0,1627.0,1571.0,1470.0,1722.0,2691.0,15.0,0.0,0.0,0.0,1024.0,6.0,160.0,159.0,836.0,20191130T101401_20191130T101406_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
38,156.0,4078.0,3535.0,3441.0,2878.0,2740.0,3312.0,3528.0,3637.0,3812.0,2540.0,3955.0,6660.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,1739.0,20190904T102021_20190904T102045_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
39,250.0,803.0,386.0,327.0,681.0,637.0,491.0,551.0,627.0,675.0,636.0,679.0,1012.0,0.0,0.0,0.0,0.0,0.0,6.0,64.0,49.0,1275.0,20190524T101031_20190524T101129_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
40,156.0,1023.0,135.0,177.0,561.0,537.0,339.0,339.0,338.0,383.0,269.0,467.0,1513.0,0.0,0.0,0.0,0.0,0.0,6.0,55.0,35.0,1933.0,20190713T101031_20190713T101515_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
41,341.0,56.0,222.0,167.0,170.0,210.0,152.0,192.0,210.0,243.0,240.0,275.0,499.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,16.0,3172.0,20190611T102029_20190611T102030_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
42,144.0,390.0,403.0,341.0,526.0,518.0,414.0,455.0,560.0,592.0,733.0,591.0,795.0,0.0,0.0,0.0,0.0,2048.0,10.0,53.0,43.0,647.0,20190512T102029_20190512T102248_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
43,174.0,4443.0,3139.0,3389.0,3208.0,2358.0,2496.0,3203.0,4015.0,4546.0,3428.0,4636.0,10501.0,68.0,0.0,0.0,0.0,1024.0,8.0,240.0,254.0,1881.0,20190616T102031_20190616T102027_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
44,132.0,640.0,330.0,432.0,899.0,597.0,381.0,411.0,447.0,553.0,649.0,651.0,1417.0,0.0,0.0,0.0,0.0,0.0,10.0,61.0,39.0,2013.0,20190701T102029_20190701T102032_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
45,96.0,8529.0,4452.0,3018.0,8992.0,7936.0,7252.0,7131.0,6517.0,6006.0,8440.0,5569.0,11005.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,628.0,20190507T102031_20190507T102226_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
46,150.0,6280.0,4824.0,4107.0,6720.0,6380.0,5836.0,6037.0,5940.0,5925.0,7188.0,5758.0,11445.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,2279.0,20190721T102029_20190721T102325_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
47,180.0,6734.0,4295.0,3556.0,6464.0,5692.0,4824.0,5428.0,5583.0,5523.0,6540.0,5441.0,15888.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,1948.0,20190613T101031_20190613T101027_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
48,114.0,439.0,122.0,115.0,506.0,433.0,228.0,203.0,167.0,172.0,165.0,129.0,191.0,0.0,0.0,0.0,0.0,0.0,6.0,44.0,24.0,1263.0,20190916T101029_20190916T101024_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
49,336.0,571.0,158.0,88.0,672.0,675.0,343.0,373.0,457.0,531.0,473.0,505.0,458.0,0.0,0.0,0.0,0.0,0.0,6.0,69.0,35.0,2742.0,20190830T102029_20190830T102552_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
50,204.0,5269.0,2345.0,2096.0,4436.0,3694.0,3188.0,3216.0,2950.0,2832.0,2770.0,2758.0,3479.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,1384.0,20191123T102341_20191123T102417_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
51,114.0,3408.0,3543.0,3322.0,4124.0,3826.0,3262.0,3667.0,3993.0,3879.0,4740.0,3785.0,10722.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,2080.0,20190810T102029_20190810T102030_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
52,144.0,12078.0,5888.0,4271.0,11360.0,10480.0,10000.0,10700.0,9988.0,9592.0,9936.0,9110.0,15758.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,2103.0,20190519T101039_20190519T101033_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
53,90.0,405.0,215.0,195.0,393.0,415.0,242.0,266.0,289.0,287.0,345.0,285.0,658.0,0.0,0.0,0.0,0.0,2048.0,10.0,43.0,25.0,1541.0,20190921T101031_20190921T101152_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
54,108.0,3310.0,3304.0,3007.0,1432.0,1830.0,2048.0,2988.0,3510.0,3677.0,1618.0,4087.0,5202.0,75.0,0.0,0.0,0.0,0.0,8.0,186.0,209.0,2501.0,20190723T101031_20190723T101347_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
55,108.0,331.0,47.0,43.0,315.0,223.0,110.0,87.0,53.0,50.0,44.0,18.0,63.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,12.0,996.0,20190529T101039_20190529T101232_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
56,125.0,530.0,171.0,196.0,519.0,358.0,271.0,247.0,264.0,250.0,234.0,218.0,143.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,28.0,590.0,20190122T102329_20190122T102330_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
57,204.0,6538.0,3494.0,3050.0,5560.0,4968.0,4700.0,5138.0,5148.0,5126.0,4948.0,5036.0,10468.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,2214.0,20190802T101031_20190802T101344_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
58,108.0,312.0,131.0,98.0,254.0,209.0,164.0,156.0,132.0,137.0,122.0,127.0,170.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,17.0,1653.0,20190517T102031_20190517T102508_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
59,204.0,2478.0,2588.0,2415.0,2256.0,2224.0,2608.0,2433.0,2457.0,2511.0,2320.0,2700.0,2722.0,54.0,0.0,0.0,0.0,0.0,8.0,226.0,255.0,1047.0,20191213T102421_20191213T102424_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
60,119.0,2388.0,3334.0,3382.0,2642.0,2372.0,2520.0,2822.0,2762.0,2829.0,2666.0,2835.0,2565.0,88.0,0.0,0.0,0.0,0.0,9.0,241.0,255.0,545.0,20190119T101339_20190119T101338_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
61,84.0,3213.0,1687.0,1194.0,3560.0,3282.0,3012.0,3079.0,2751.0,2538.0,3292.0,2420.0,7864.0,100.0,0.0,0.0,0.0,0.0,9.0,255.0,255.0,1641.0,20191128T102259_20191128T102255_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
62,137.0,242.0,144.0,110.0,293.0,208.0,144.0,145.0,154.0,164.0,196.0,149.0,211.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,15.0,612.0,20190330T101029_20190330T101153_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
63,114.0,317.0,83.0,68.0,308.0,234.0,144.0,143.0,151.0,165.0,120.0,122.0,147.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,15.0,2172.0,20190601T102029_20190601T102031_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
64,168.0,7503.0,4345.0,3557.0,6552.0,5956.0,5660.0,5769.0,5432.0,5245.0,5328.0,5236.0,6341.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,894.0,20191203T102401_20191203T102415_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
65,114.0,11236.0,7551.0,6360.0,12040.0,12120.0,12216.0,12542.0,12358.0,12291.0,11592.0,12193.0,14504.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,1012.0,20191029T102039_20191029T102520_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
66,77.0,9343.0,6569.0,5428.0,9656.0,8680.0,8792.0,9374.0,9062.0,8807.0,9000.0,8823.0,11210.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,702.0,20190305T101021_20190305T101019_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
