system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
264,202.0,889.0,936.0,822.0,813.0,886.0,855.0,972.0,1056.0,1118.0,1214.0,1149.0,2640.0,0.0,0.0,2048.0,8.0,83.0,91.0,87.0,1260.0,20180926T101021_20180926T101020_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
265,202.0,7541.0,2172.0,2315.0,7840.0,8036.0,8216.0,7322.0,7466.0,7708.0,8424.0,7691.0,3830.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,,20181029T102131_20181029T102131_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
266,202.0,7685.0,2159.0,2300.0,7896.0,8060.0,8240.0,7327.0,7463.0,7713.0,8432.0,7657.0,3829.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,,20181029T102131_20181029T102131_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
267,202.0,6812.0,2346.0,2304.0,6436.0,6500.0,6520.0,6098.0,6187.0,6380.0,6932.0,6425.0,3583.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,,20181130T101349_20181130T101352_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
268,202.0,6949.0,2378.0,2332.0,6456.0,6508.0,6524.0,6110.0,6282.0,6477.0,6928.0,6459.0,3619.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,,20181130T101349_20181130T101352_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
269,202.0,8870.0,4285.0,3505.0,8224.0,7392.0,7176.0,6881.0,6756.0,6715.0,7228.0,6531.0,6345.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,306.0,20181223T102429_20181223T102536_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
270,202.0,8859.0,4203.0,3231.0,7280.0,6664.0,6596.0,6528.0,6572.0,6654.0,6836.0,6622.0,2540.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,,20181223T102429_20181223T102536_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
271,202.0,8303.0,4749.0,3379.0,7842.0,7828.0,7893.0,8128.0,7997.0,7948.0,7667.0,7861.0,7898.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,360.0,20180323T102021_20180323T102021_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
272,202.0,11206.0,4459.0,4030.0,10427.0,9905.0,9696.0,9633.0,9518.0,9401.0,10008.0,9362.0,9039.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,124.0,20180129T101251_20180129T101247_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
273,202.0,11278.0,4495.0,4056.0,10421.0,9900.0,9693.0,9634.0,9536.0,9438.0,9981.0,9349.0,9131.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,126.0,20180129T101251_20180129T101247_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
274,202.0,9908.0,5656.0,4792.0,8738.0,8360.0,7964.0,8251.0,8022.0,7921.0,7685.0,7820.0,7969.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,268.0,20180203T101219_20180203T101237_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
275,202.0,5656.0,4725.0,3994.0,5680.0,5392.0,5225.0,6043.0,5779.0,5553.0,5790.0,5486.0,5345.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,196.0,20180218T101051_20180218T101313_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
276,202.0,5175.0,4384.0,3637.0,5561.0,5310.0,5165.0,5619.0,5379.0,5168.0,5702.0,5066.0,4682.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,196.0,20180218T101051_20180218T101313_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
277,202.0,9151.0,4447.0,3308.0,6350.0,6106.0,5971.0,6851.0,6659.0,6546.0,5745.0,6466.0,1759.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,584.0,20180310T101021_20180310T101020_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
278,202.0,8882.0,4428.0,3350.0,6255.0,6027.0,5925.0,6752.0,6579.0,6581.0,5719.0,6496.0,1778.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,601.0,20180310T101021_20180310T101020_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
279,202.0,7785.0,4821.0,3481.0,7872.0,7831.0,7890.0,8148.0,8014.0,7957.0,7667.0,7858.0,3750.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,391.0,20180323T102021_20180323T102021_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
