system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
16,276.0,241.0,92.0,69.0,323.0,422.0,155.0,171.0,128.0,84.0,38.0,149.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,42.0,16.0,2842.0,20190825T102031_20190825T102430_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
17,59.0,62.0,39.0,45.0,169.0,227.0,86.0,64.0,57.0,61.0,54.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,24.0,9.0,655.0,20190422T102029_20190422T102029_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
18,59.0,64.0,42.0,40.0,169.0,230.0,81.0,69.0,62.0,62.0,51.0,20.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,24.0,9.0,652.0,20190422T102029_20190422T102029_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
19,89.0,273.0,75.0,52.0,292.0,306.0,152.0,165.0,152.0,142.0,124.0,120.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,32.0,16.0,572.0,20190409T101029_20190409T101028_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
20,73.0,383.0,193.0,147.0,306.0,309.0,186.0,244.0,250.0,147.0,194.0,190.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,32.0,19.0,1758.0,20190603T101031_20190603T101041_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
21,74.0,366.0,166.0,124.0,315.0,333.0,208.0,188.0,206.0,178.0,163.0,185.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,34.0,22.0,1772.0,20190603T101031_20190603T101041_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
22,59.0,115.0,51.0,34.0,206.0,149.0,93.0,66.0,91.0,100.0,67.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,16.0,10.0,594.0,20190218T101059_20190218T101421_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
23,59.0,113.0,50.0,24.0,210.0,158.0,101.0,65.0,92.0,107.0,60.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,17.0,11.0,588.0,20190218T101059_20190218T101421_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
24,71.0,275.0,225.0,275.0,271.0,325.0,226.0,202.0,296.0,402.0,354.0,381.0,0.0,0.0,0.0,0.0,0.0,10.0,29.0,35.0,24.0,840.0,20190417T102031_20190417T102431_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
25,138.0,164.0,34.0,19.0,271.0,147.0,100.0,63.0,1.0,40.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,15.0,11.0,1455.0,20191205T101309_20191205T101308_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
26,138.0,170.0,29.0,13.0,267.0,130.0,95.0,68.0,5.0,39.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,14.0,10.0,1443.0,20191205T101309_20191205T101308_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
27,71.0,293.0,218.0,262.0,265.0,342.0,221.0,208.0,288.0,382.0,355.0,432.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,35.0,23.0,872.0,20190417T102031_20190417T102431_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
28,120.0,327.0,104.0,75.0,438.0,456.0,181.0,142.0,141.0,112.0,116.0,197.0,0.0,0.0,0.0,0.0,0.0,6.0,45.0,47.0,19.0,2567.0,20190728T101029_20190728T101332_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
29,96.0,434.0,103.0,53.0,484.0,532.0,166.0,152.0,118.0,118.0,113.0,118.0,0.0,0.0,0.0,0.0,0.0,6.0,50.0,55.0,17.0,2317.0,20190723T101031_20190723T101347_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
30,114.0,316.0,38.0,36.0,221.0,173.0,101.0,79.0,40.0,22.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,18.0,11.0,1611.0,20191220T101431_20191220T101426_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
31,78.0,1.0,69.0,42.0,74.0,145.0,53.0,73.0,70.0,64.0,94.0,24.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,16.0,7.0,2201.0,20191014T102031_20191014T102207_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
32,90.0,1.0,66.0,36.0,29.0,112.0,33.0,50.0,42.0,38.0,69.0,,0.0,0.0,0.0,0.0,0.0,6.0,3.0,11.0,3.0,2234.0,20191014T102031_20191014T102207_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
33,123.0,322.0,103.0,74.0,431.0,461.0,179.0,134.0,133.0,102.0,114.0,179.0,0.0,0.0,0.0,0.0,0.0,6.0,44.0,47.0,19.0,2561.0,20190728T101029_20190728T101332_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
34,90.0,429.0,96.0,53.0,480.0,545.0,178.0,149.0,118.0,130.0,111.0,112.0,0.0,0.0,0.0,0.0,0.0,6.0,49.0,56.0,19.0,2321.0,20190723T101031_20190723T101347_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
35,150.0,636.0,216.0,220.0,201.0,229.0,144.0,133.0,353.0,229.0,437.0,1302.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,24.0,15.0,1432.0,20190822T101031_20190822T101027_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
36,150.0,798.0,286.0,370.0,214.0,236.0,145.0,154.0,593.0,239.0,852.0,1589.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,24.0,15.0,1434.0,20190822T101031_20190822T101027_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
37,120.0,298.0,30.0,38.0,228.0,157.0,99.0,52.0,22.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,16.0,11.0,1624.0,20191220T101431_20191220T101426_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
38,219.0,453.0,185.0,143.0,513.0,611.0,310.0,306.0,343.0,301.0,302.0,299.0,0.0,0.0,0.0,0.0,0.0,6.0,52.0,63.0,32.0,3351.0,20190626T102031_20190626T102028_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
39,126.0,884.0,554.0,433.0,824.0,692.0,593.0,573.0,536.0,671.0,540.0,759.0,0.0,0.0,0.0,0.0,0.0,6.0,84.0,71.0,61.0,958.0,20191130T101401_20191130T101406_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
40,228.0,461.0,193.0,151.0,514.0,610.0,292.0,329.0,361.0,299.0,332.0,320.0,0.0,0.0,0.0,0.0,0.0,6.0,53.0,62.0,31.0,3348.0,20190626T102031_20190626T102028_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
41,267.0,239.0,408.0,330.0,265.0,356.0,326.0,397.0,574.0,565.0,629.0,1262.0,0.0,0.0,0.0,0.0,2048.0,10.0,27.0,37.0,34.0,1705.0,20190424T101031_20190424T101032_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
42,250.0,284.0,414.0,333.0,294.0,374.0,333.0,423.0,615.0,593.0,644.0,1323.0,0.0,0.0,0.0,0.0,2048.0,10.0,30.0,38.0,34.0,1704.0,20190424T101031_20190424T101032_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
43,126.0,917.0,629.0,454.0,786.0,664.0,539.0,613.0,570.0,605.0,560.0,799.0,0.0,0.0,0.0,0.0,0.0,6.0,80.0,68.0,55.0,945.0,20191130T101401_20191130T101406_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
44,101.0,252.0,49.0,31.0,221.0,255.0,97.0,73.0,9.0,10.0,15.0,53.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,26.0,10.0,1591.0,20190613T101031_20190613T101027_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
45,96.0,672.0,201.0,144.0,464.0,497.0,295.0,254.0,272.0,319.0,269.0,1173.0,0.0,0.0,0.0,0.0,0.0,6.0,48.0,51.0,30.0,1530.0,20190623T101031_20190623T101029_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
46,96.0,896.0,268.0,207.0,465.0,502.0,272.0,274.0,363.0,316.0,395.0,1967.0,0.0,0.0,0.0,0.0,0.0,6.0,48.0,52.0,28.0,1521.0,20190623T101031_20190623T101029_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
47,144.0,506.0,184.0,103.0,583.0,430.0,339.0,326.0,287.0,345.0,229.0,225.0,0.0,0.0,0.0,0.0,0.0,10.0,61.0,43.0,35.0,921.0,20191213T102421_20191213T102424_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
48,306.0,3125.0,2698.0,2652.0,2322.0,1700.0,1886.0,2433.0,3467.0,2690.0,3475.0,10913.0,24.0,0.0,0.0,0.0,0.0,8.0,236.0,173.0,192.0,3175.0,20190827T101029_20190827T101554_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
49,138.0,514.0,200.0,114.0,614.0,414.0,347.0,370.0,316.0,340.0,271.0,223.0,0.0,0.0,0.0,0.0,0.0,6.0,64.0,44.0,37.0,928.0,20191213T102421_20191213T102424_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
50,312.0,3028.0,2829.0,2748.0,2362.0,1712.0,1802.0,2623.0,3571.0,2776.0,3605.0,10559.0,23.0,0.0,0.0,0.0,0.0,8.0,240.0,174.0,184.0,3171.0,20190827T101029_20190827T101554_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
51,101.0,252.0,48.0,31.0,228.0,274.0,109.0,73.0,10.0,12.0,21.0,59.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,28.0,12.0,1591.0,20190613T101031_20190613T101027_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
52,174.0,8388.0,4262.0,3678.0,6800.0,5760.0,5436.0,5922.0,6277.0,6828.0,6526.0,15926.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1998.0,20190713T101031_20190713T101515_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
53,84.0,175.0,131.0,107.0,194.0,212.0,120.0,110.0,144.0,152.0,145.0,243.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,22.0,13.0,1528.0,20190921T101031_20190921T101152_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
54,66.0,376.0,383.0,327.0,405.0,426.0,306.0,375.0,571.0,563.0,605.0,824.0,0.0,0.0,0.0,0.0,2048.0,10.0,41.0,44.0,32.0,668.0,20190512T102029_20190512T102248_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
55,96.0,212.0,43.0,39.0,249.0,195.0,96.0,92.0,123.0,102.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,20.0,10.0,1161.0,20190906T101029_20190906T101026_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
56,90.0,216.0,46.0,40.0,251.0,199.0,97.0,98.0,127.0,107.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,21.0,10.0,1165.0,20190906T101029_20190906T101026_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
57,174.0,7711.0,4244.0,3582.0,6552.0,5744.0,5412.0,5845.0,6124.0,6640.0,6401.0,15926.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1985.0,20190713T101031_20190713T101515_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
58,83.0,210.0,33.0,14.0,127.0,44.0,25.0,25.0,25.0,43.0,42.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,5.0,3.0,616.0,20190114T101351_20190114T101352_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
59,96.0,432.0,138.0,122.0,400.0,351.0,215.0,216.0,237.0,217.0,213.0,212.0,0.0,0.0,0.0,0.0,0.0,6.0,42.0,36.0,21.0,2091.0,20190601T102029_20190601T102031_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
60,66.0,370.0,382.0,324.0,404.0,422.0,316.0,367.0,554.0,569.0,587.0,835.0,0.0,0.0,0.0,0.0,2048.0,10.0,44.0,44.0,33.0,669.0,20190512T102029_20190512T102248_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
61,95.0,141.0,76.0,71.0,203.0,206.0,110.0,107.0,70.0,75.0,58.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,21.0,12.0,1113.0,20190320T101029_20190320T101437_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
62,96.0,423.0,133.0,131.0,410.0,364.0,213.0,212.0,245.0,218.0,203.0,204.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,38.0,23.0,2097.0,20190601T102029_20190601T102031_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
63,84.0,178.0,130.0,108.0,187.0,209.0,111.0,106.0,141.0,152.0,144.0,238.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,22.0,12.0,1533.0,20190921T101031_20190921T101152_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
64,95.0,144.0,75.0,72.0,204.0,201.0,107.0,113.0,73.0,76.0,48.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,21.0,11.0,1117.0,20190320T101029_20190320T101437_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
65,102.0,555.0,221.0,218.0,677.0,674.0,243.0,223.0,301.0,124.0,362.0,262.0,0.0,0.0,0.0,0.0,0.0,6.0,69.0,69.0,25.0,1675.0,20190718T101039_20190718T101040_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
66,77.0,244.0,24.0,16.0,136.0,66.0,50.0,38.0,29.0,53.0,43.0,17.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,7.0,6.0,610.0,20190114T101351_20190114T101352_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
67,102.0,532.0,253.0,250.0,674.0,669.0,244.0,209.0,410.0,133.0,494.0,241.0,0.0,0.0,0.0,0.0,0.0,6.0,69.0,68.0,25.0,1687.0,20190718T101039_20190718T101040_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
68,84.0,3764.0,1094.0,884.0,2786.0,2234.0,1860.0,1863.0,1811.0,1659.0,1682.0,1952.0,36.0,0.0,0.0,0.0,1024.0,8.0,255.0,226.0,188.0,950.0,20191029T102039_20191029T102520_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
69,113.0,325.0,276.0,246.0,381.0,375.0,251.0,294.0,333.0,328.0,320.0,443.0,0.0,0.0,0.0,0.0,2048.0,10.0,39.0,39.0,26.0,656.0,20190330T101029_20190330T101153_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
70,107.0,327.0,287.0,248.0,374.0,378.0,257.0,293.0,344.0,337.0,324.0,449.0,0.0,0.0,0.0,0.0,0.0,10.0,38.0,39.0,27.0,657.0,20190330T101029_20190330T101153_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
71,116.0,1450.0,1734.0,1336.0,1154.0,1156.0,1016.0,1370.0,2265.0,1780.0,2245.0,3413.0,5.0,0.0,0.0,0.0,0.0,10.0,118.0,118.0,104.0,1866.0,20190519T101039_20190519T101033_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
72,84.0,3477.0,1069.0,839.0,2820.0,2272.0,1888.0,1800.0,1731.0,1666.0,1656.0,1794.0,34.0,0.0,0.0,0.0,1024.0,8.0,255.0,231.0,192.0,952.0,20191029T102039_20191029T102520_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
73,118.0,1476.0,1763.0,1441.0,1098.0,1166.0,1022.0,1427.0,2433.0,1766.0,2448.0,3481.0,3.0,0.0,0.0,0.0,0.0,10.0,112.0,119.0,104.0,1872.0,20190519T101039_20190519T101033_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
74,139.0,560.0,211.0,200.0,662.0,716.0,352.0,334.0,392.0,355.0,394.0,800.0,0.0,0.0,0.0,0.0,0.0,10.0,68.0,72.0,35.0,1667.0,20190711T102029_20190711T102032_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
75,90.0,569.0,831.0,463.0,1306.0,1006.0,666.0,583.0,772.0,1906.0,754.0,768.0,0.0,0.0,0.0,0.0,0.0,10.0,133.0,103.0,68.0,914.0,20190529T101039_20190529T101232_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
76,103.0,224.0,69.0,53.0,221.0,261.0,132.0,136.0,122.0,125.0,103.0,57.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,27.0,14.0,1006.0,20190404T101031_20190404T101025_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
77,90.0,821.0,1170.0,632.0,1052.0,816.0,558.0,881.0,1117.0,1462.0,1090.0,1541.0,0.0,0.0,0.0,0.0,0.0,10.0,107.0,83.0,57.0,910.0,20190529T101039_20190529T101232_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
