system:index,AOT,B1,B12,B2,B3,B4,B5,B6,B7,B8,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
15,126.0,283.0,67.0,230.0,240.0,171.0,187.0,110.0,82.0,135.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,25.0,18.0,690.0,20191210T101411_20191210T101409_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
16,300.0,309.0,55.0,302.0,488.0,277.0,559.0,344.0,318.0,227.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,50.0,29.0,2842.0,20190825T102031_20190825T102430_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
17,59.0,96.0,53.0,190.0,227.0,145.0,141.0,65.0,84.0,74.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,24.0,15.0,655.0,20190422T102029_20190422T102029_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
18,59.0,88.0,42.0,173.0,230.0,139.0,145.0,65.0,83.0,71.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,22.0,14.0,652.0,20190422T102029_20190422T102029_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
19,95.0,353.0,55.0,358.0,392.0,278.0,305.0,238.0,259.0,219.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,40.0,29.0,572.0,20190409T101029_20190409T101028_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
20,84.0,265.0,39.0,235.0,364.0,216.0,244.0,106.0,125.0,91.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,37.0,22.0,1758.0,20190603T101031_20190603T101041_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
21,84.0,263.0,46.0,234.0,357.0,217.0,242.0,107.0,116.0,90.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,37.0,23.0,1772.0,20190603T101031_20190603T101041_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
22,59.0,142.0,14.0,181.0,171.0,110.0,149.0,76.0,66.0,80.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,18.0,12.0,594.0,20190218T101059_20190218T101421_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
23,59.0,138.0,25.0,188.0,167.0,115.0,153.0,68.0,64.0,84.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,17.0,12.0,588.0,20190218T101059_20190218T101421_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
24,65.0,135.0,47.0,169.0,268.0,179.0,214.0,110.0,96.0,104.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,27.0,18.0,840.0,20190417T102031_20190417T102431_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
25,138.0,183.0,4.0,213.0,194.0,96.0,86.0,1.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,20.0,10.0,1455.0,20191205T101309_20191205T101308_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
26,138.0,188.0,15.0,204.0,189.0,98.0,42.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,20.0,10.0,1443.0,20191205T101309_20191205T101308_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
