system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
178,77.0,4260.0,2511.0,2344.0,4140.0,3714.0,3410.0,3412.0,3418.0,3318.0,3746.0,3296.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,342.0,20190117T102351_20190117T102347_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
179,202.0,5286.0,2695.0,1852.0,4976.0,4984.0,4984.0,5185.0,5156.0,5128.0,5128.0,5119.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,795.0,20190107T102411_20190107T102405_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
180,204.0,1758.0,2963.0,2521.0,2090.0,2228.0,2476.0,2940.0,3399.0,3552.0,3504.0,3653.0,100.0,0.0,0.0,0.0,1024.0,9.0,213.0,227.0,252.0,813.0,20190805T102031_20190805T102440_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
181,202.0,5293.0,2779.0,1933.0,5008.0,4948.0,5068.0,5293.0,5236.0,5253.0,5136.0,5221.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,792.0,20190107T102411_20190107T102405_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
182,204.0,5174.0,4814.0,4475.0,4444.0,4528.0,4408.0,4839.0,5050.0,5136.0,5116.0,5242.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2069.0,20190924T102021_20190924T102418_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
183,204.0,1842.0,2957.0,2612.0,1986.0,2148.0,2250.0,2844.0,3399.0,3655.0,3492.0,3769.0,100.0,0.0,0.0,0.0,1024.0,9.0,202.0,219.0,229.0,838.0,20190805T102031_20190805T102440_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
184,204.0,10131.0,3257.0,3292.0,9960.0,9920.0,9864.0,9872.0,9601.0,9532.0,10008.0,9389.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,530.0,20191004T102031_20191004T102025_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
185,204.0,15204.0,2219.0,2711.0,13416.0,12072.0,11296.0,11992.0,11096.0,10538.0,10856.0,10109.0,57.0,0.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,1778.0,20190616T102031_20190616T102027_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
186,204.0,11347.0,6032.0,5109.0,9784.0,9896.0,10160.0,11068.0,10859.0,10847.0,9952.0,10834.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,868.0,20191001T101031_20191001T101058_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
187,138.0,8548.0,3608.0,3063.0,7980.0,7344.0,6968.0,7264.0,6940.0,6773.0,6932.0,6491.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1095.0,20191009T102029_20191009T102303_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
188,204.0,11345.0,6071.0,5166.0,10472.0,10608.0,10840.0,11086.0,10875.0,10866.0,10392.0,10856.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,858.0,20191001T101031_20191001T101058_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
189,204.0,9974.0,3231.0,3282.0,9840.0,9832.0,9728.0,9812.0,9528.0,9474.0,9816.0,9328.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,523.0,20191004T102031_20191004T102025_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
190,202.0,5249.0,1214.0,1301.0,4620.0,4520.0,4484.0,4509.0,4390.0,4263.0,4528.0,4200.0,0.0,100.0,0.0,0.0,1024.0,10.0,255.0,255.0,255.0,292.0,20190127T102311_20190127T102327_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
191,186.0,9196.0,3620.0,3026.0,8504.0,7700.0,7304.0,7505.0,7138.0,6946.0,7184.0,6668.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1082.0,20191009T102029_20191009T102303_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
192,192.0,924.0,913.0,1049.0,802.0,727.0,705.0,761.0,713.0,749.0,760.0,796.0,5.0,0.0,0.0,0.0,0.0,6.0,82.0,74.0,72.0,541.0,20191228T102339_20191228T102333_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
193,192.0,904.0,923.0,1054.0,871.0,686.0,670.0,772.0,743.0,729.0,836.0,789.0,5.0,0.0,0.0,0.0,0.0,6.0,89.0,70.0,69.0,543.0,20191228T102339_20191228T102333_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
194,202.0,10792.0,4448.0,3816.0,8192.0,6900.0,6620.0,6941.0,6730.0,6666.0,6280.0,6441.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,338.0,20190124T101311_20190124T101314_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
195,202.0,7042.0,2464.0,2456.0,7000.0,6820.0,6900.0,7002.0,7001.0,6995.0,7564.0,6968.0,0.0,53.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,358.0,20190315T101021_20190315T101043_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
196,202.0,7071.0,2457.0,2444.0,7012.0,6836.0,6932.0,6990.0,6972.0,6998.0,7492.0,6976.0,0.0,53.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,345.0,20190315T101021_20190315T101043_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
197,202.0,5270.0,1209.0,1276.0,4660.0,4504.0,4516.0,4516.0,4372.0,4286.0,4632.0,4146.0,0.0,100.0,0.0,0.0,1024.0,10.0,255.0,255.0,255.0,276.0,20190127T102311_20190127T102327_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
198,204.0,9394.0,4874.0,3664.0,9120.0,8093.0,7420.0,7370.0,6709.0,6196.0,7188.0,5556.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1165.0,20191123T102341_20191123T102417_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
199,204.0,7268.0,1563.0,1853.0,7008.0,6916.0,6904.0,7094.0,7072.0,7109.0,7408.0,7089.0,0.0,100.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,623.0,20190706T102031_20190706T102357_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
