system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
115,125.0,142.0,236.0,206.0,318.0,322.0,259.0,282.0,252.0,254.0,259.0,243.0,257.0,0.0,0.0,2048.0,3.0,32.0,32.0,26.0,180.0,20180318T102019_20180318T102016_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
116,137.0,1.0,100.0,78.0,142.0,280.0,182.0,347.0,133.0,144.0,99.0,112.0,218.0,0.0,0.0,0.0,6.0,15.0,29.0,19.0,2350.0,20180911T101019_20180911T101438_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
117,95.0,882.0,369.0,301.0,692.0,681.0,603.0,666.0,667.0,672.0,601.0,646.0,1022.0,0.0,0.0,0.0,6.0,71.0,70.0,62.0,1427.0,20181105T101211_20181105T101404_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
118,137.0,1.0,92.0,85.0,127.0,271.0,176.0,343.0,137.0,143.0,99.0,95.0,198.0,0.0,0.0,0.0,6.0,13.0,28.0,18.0,2350.0,20180911T101019_20180911T101438_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
119,220.0,5712.0,6152.0,5545.0,4931.0,5137.0,5502.0,6440.0,6714.0,6680.0,5608.0,6719.0,7541.0,0.0,0.0,0.0,9.0,255.0,255.0,255.0,1871.0,20180512T102031_20180512T102148_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
120,95.0,857.0,359.0,294.0,678.0,681.0,603.0,651.0,644.0,615.0,614.0,621.0,961.0,0.0,0.0,0.0,6.0,69.0,70.0,62.0,1417.0,20181105T101211_20181105T101404_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
121,65.0,69.0,287.0,242.0,220.0,318.0,276.0,312.0,289.0,296.0,324.0,309.0,330.0,0.0,0.0,2048.0,2.0,22.0,32.0,28.0,308.0,20180407T102019_20180407T102020_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
122,107.0,10614.0,8633.0,7767.0,10544.0,10216.0,10040.0,10751.0,10355.0,10150.0,10264.0,9929.0,15644.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1948.0,20180805T102019_20180805T102019_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
123,113.0,10424.0,8513.0,7562.0,10744.0,10280.0,10080.0,10690.0,10323.0,10144.0,10320.0,9874.0,15648.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1954.0,20180805T102019_20180805T102019_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
124,131.0,236.0,233.0,209.0,307.0,312.0,252.0,272.0,233.0,250.0,243.0,248.0,251.0,0.0,0.0,2048.0,3.0,31.0,31.0,25.0,189.0,20180318T102019_20180318T102016_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
125,77.0,3292.0,3282.0,2961.0,2832.0,2918.0,2878.0,3293.0,3577.0,3703.0,3770.0,3865.0,7483.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,874.0,20181118T102311_20181118T102312_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
126,275.0,740.0,777.0,616.0,741.0,890.0,793.0,1167.0,1098.0,1143.0,1064.0,1088.0,2081.0,0.0,0.0,2048.0,10.0,76.0,91.0,81.0,2065.0,20180817T101021_20180817T101024_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
127,344.0,11833.0,1471.0,1836.0,11000.0,10232.0,9504.0,10435.0,9638.0,9069.0,9264.0,8672.0,16379.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,2428.0,20180601T102021_20180601T102024_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
128,202.0,91.0,344.0,276.0,399.0,433.0,373.0,425.0,391.0,420.0,396.0,374.0,446.0,0.0,0.0,2048.0,10.0,40.0,44.0,38.0,597.0,20180325T101019_20180325T101511_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
