system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,WVP,id,lake,lat,lon,.geo
59,78.0,1233.0,1043.0,1041.0,1231.0,1222.0,1069.0,1036.0,988.0,1001.0,998.0,1009.0,1026.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,23.0,1902.0,20220712T100559_20220712T101515_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
60,60.0,1191.0,1098.0,1078.0,1160.0,1170.0,1073.0,1066.0,1075.0,1089.0,1083.0,1098.0,1108.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,18.0,947.0,20220418T100601_20220418T101300_T32UQE,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
61,60.0,1187.0,1096.0,1080.0,1156.0,1167.0,1063.0,1061.0,1069.0,1089.0,1088.0,1088.0,1095.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,17.0,955.0,20220418T100601_20220418T101300_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
62,114.0,1292.0,1102.0,1077.0,1272.0,1249.0,1133.0,1119.0,1071.0,1085.0,1083.0,1092.0,1088.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,26.0,1673.0,20220518T100601_20220518T100944_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
63,66.0,2287.0,2146.0,1929.0,1470.0,1557.0,1540.0,1700.0,1801.0,1884.0,1610.0,2052.0,3292.0,0.0,0.0,0.0,0.0,0.0,6.0,48.0,58.0,1042.0,20220327T101629_20220327T102055_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
64,72.0,9401.0,9203.0,7985.0,10400.0,10304.0,10784.0,10817.0,10501.0,9772.0,11560.0,9485.0,12815.0,100.0,0.0,0.0,0.0,0.0,9.0,255.0,255.0,641.0,20220319T100731_20220319T101418_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
65,72.0,1226.0,1100.0,1068.0,1188.0,1220.0,1098.0,1099.0,1104.0,1136.0,1132.0,1145.0,1180.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,23.0,870.0,20220508T100601_20220508T101446_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
66,66.0,1201.0,1258.0,1227.0,1244.0,1236.0,1164.0,1185.0,1215.0,1229.0,1260.0,1257.0,1354.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,24.0,523.0,20220416T101559_20220416T102458_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
67,72.0,10097.0,9492.0,8835.0,10216.0,10248.0,10640.0,10968.0,10975.0,10799.0,11440.0,10557.0,14050.0,100.0,0.0,0.0,0.0,0.0,9.0,255.0,255.0,639.0,20220319T100731_20220319T101418_T32UQE,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
68,72.0,1222.0,1099.0,1068.0,1188.0,1219.0,1092.0,1096.0,1110.0,1143.0,1133.0,1150.0,1198.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,23.0,888.0,20220508T100601_20220508T101446_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
69,66.0,10185.0,9662.0,8990.0,10312.0,10336.0,10776.0,11149.0,11168.0,10993.0,11616.0,10733.0,14262.0,100.0,0.0,0.0,0.0,0.0,9.0,255.0,255.0,643.0,20220319T100731_20220319T101418_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
70,124.0,1279.0,1099.0,1085.0,1268.0,1243.0,1132.0,1106.0,1051.0,1059.0,1061.0,1075.0,1104.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,25.0,1722.0,20220518T100601_20220518T100944_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
71,66.0,1200.0,1254.0,1225.0,1245.0,1241.0,1178.0,1187.0,1210.0,1225.0,1256.0,1254.0,1361.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,25.0,523.0,20220416T101559_20220416T102458_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
72,66.0,1336.0,1646.0,1510.0,1543.0,1644.0,1642.0,1402.0,1502.0,1454.0,1731.0,1534.0,1496.0,0.0,0.0,0.0,0.0,0.0,6.0,55.0,66.0,1038.0,20220327T101629_20220327T102055_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
73,72.0,1214.0,1055.0,1039.0,1224.0,1197.0,1091.0,1068.0,1016.0,1034.0,1026.0,1015.0,1088.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,21.0,1699.0,20220622T100559_20220622T101515_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
